,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK_FUTURE.999010,1/8/2018 0:00,28450,28295,28828,28163,0,0,214393,6067339607,-0.485351528,28433
1,HK_FUTURE.999010,2/8/2018 0:00,28284,27605,28334,27500,0,0,245585,6821862721,-2.438593391,28295
2,HK_FUTURE.999010,3/8/2018 0:00,27581,27613,27758,27444,0,0,201312,5503657137,0.028980257,27605
3,HK_FUTURE.999010,6/8/2018 0:00,27609,27728,28016,27609,0,0,217626,6038817351,0.416470503,27613
4,HK_FUTURE.999010,7/8/2018 0:00,27720,28204,28234,27701,0,0,208781,5818363144,1.716676284,27728
5,HK_FUTURE.999010,8/8/2018 0:00,28218,28234,28374,28142,0,0,187096,5271457626,0.106367891,28204
6,HK_FUTURE.999010,9/8/2018 0:00,28226,28531,28659,28060,0,0,207742,5873667458,1.051923213,28234
7,HK_FUTURE.999010,10/8/2018 0:00,28536,28213,28646,28173,0,0,174985,4958187355,-1.114577127,28531
8,HK_FUTURE.999010,13/8/2018 0:00,28221,27867,28266,27704,0,0,201643,5602581269,-1.226385,28213
9,HK_FUTURE.999010,14/8/2018 0:00,27881,27637,28024,27444,0,0,214987,5941283063,-0.825348979,27867
10,HK_FUTURE.999010,15/8/2018 0:00,27623,27231,27728,27150,0,0,215689,5880397513,-1.469045121,27637
11,HK_FUTURE.999010,16/8/2018 0:00,27219,27044,27366,26642,0,0,295772,7945155790,-0.686717344,27231
12,HK_FUTURE.999010,17/8/2018 0:00,27063,27136,27332,27005,0,0,183083,4946686818,0.340186363,27044
13,HK_FUTURE.999010,20/8/2018 0:00,27135,27519,27555,26875,0,0,221843,6039430474,1.411409198,27136
14,HK_FUTURE.999010,21/8/2018 0:00,27519,27627,27700,27432,0,0,187503,5122525426,0.392456121,27519
15,HK_FUTURE.999010,22/8/2018 0:00,27629,27855,27907,27498,0,0,209065,5762746286,0.825279618,27627
16,HK_FUTURE.999010,23/8/2018 0:00,27865,27687,27982,27580,0,0,202768,5609555557,-0.603123317,27855
17,HK_FUTURE.999010,24/8/2018 0:00,27699,27595,27782,27447,0,0,200220,5444279606,-0.33228591,27687
18,HK_FUTURE.999010,27/8/2018 0:00,27594,28252,28273,27520,0,0,210850,5549811242,2.380866099,27595
19,HK_FUTURE.999010,28/8/2018 0:00,28255,28292,28549,28201,0,0,219449,5802061652,0.141582897,28252
20,HK_FUTURE.999010,29/8/2018 0:00,28285,28345,28474,28190,0,0,139159,3817735050,0.187332108,28292
21,HK_FUTURE.999010,30/8/2018 0:00,28338,28239,28574,28227,0,0,28132,795306359,-0.373963662,28345
