Date,net_sse,net_szse,net_southbound,net_southbound_cum,net_southbound_mean,hsi
2020-11-19,2394.9399999999996,1250.0,3644.9399999999996,3644.9399999999996,,26356.970703125
2020-11-20,2010.1100000000001,3598.5399999999995,5608.65,9253.59,,26451.5390625
2020-11-23,2153.6800000000003,1883.710000000001,4037.3900000000012,13290.980000000001,4430.326666666667,26486.19921875
2020-11-24,1336.3199999999997,1617.0100000000002,2953.33,16244.310000000001,4199.790000000001,26588.19921875
2020-11-25,1362.3000000000002,820.1099999999997,2182.41,18426.72,3057.710000000001,26669.75
2020-11-26,2028.8500000000004,1263.5900000000001,3292.4400000000005,21719.160000000003,2809.393333333334,26819.44921875
2020-11-27,3737.45,1965.0500000000002,5702.5,27421.660000000003,3725.783333333334,26894.6796875
2020-11-30,2351.6600000000008,1815.7599999999993,4167.42,31589.08,4387.453333333334,26341.490234375
2020-12-01,2653.319999999999,2386.05,5039.369999999999,36628.45,4969.763333333334,26567.6796875
2020-12-02,2813.75,1860.9500000000007,4674.700000000001,41303.149999999994,4627.163333333335,26532.580078125
2020-12-03,1137.1999999999998,1400.4299999999994,2537.629999999999,43840.77999999999,4083.900000000001,26728.5
2020-12-04,2322.170000000001,1999.9899999999998,4322.160000000001,48162.939999999995,3844.8300000000017,26835.919921875
2020-12-07,1252.5099999999993,434.53999999999996,1687.0499999999993,49849.98999999999,2848.946666666668,26506.849609375
2020-12-08,1048.3099999999995,1390.5199999999995,2438.829999999999,52288.81999999999,2816.0133333333342,26304.560546875
2020-12-09,-301.39999999999964,347.6300000000001,46.23000000000047,52335.049999999996,1390.7033333333345,26502.83984375
2020-12-10,556.5599999999995,1278.5699999999997,1835.1299999999992,54170.17999999999,1440.0633333333344,26410.58984375
2020-12-11,-692.6599999999999,-1072.33,-1764.9899999999998,52405.189999999995,38.79000000000148,26505.869140625
2020-12-14,-1046.5499999999993,-868.3499999999995,-1914.8999999999987,50490.28999999999,-614.9199999999983,26389.51953125
2020-12-15,158.8099999999995,-821.3800000000001,-662.5700000000006,49827.719999999994,-1447.4866666666649,26207.2890625
2020-12-16,-760.0999999999995,-428.5799999999999,-1188.6799999999994,48639.03999999999,-1255.3833333333314,26460.2890625
2020-12-17,-316.21000000000004,527.6799999999994,211.46999999999935,48850.509999999995,-546.593333333332,26678.380859375
2020-12-18,-1713.6900000000005,-665.0700000000006,-2378.760000000001,46471.74999999999,-1118.6566666666656,26498.599609375
2020-12-21,-1548.9700000000003,1525.6599999999999,-23.3100000000004,46448.439999999995,-730.1999999999992,26306.6796875
2020-12-22,94.73999999999978,1237.13,1331.87,47780.31,-356.7333333333324,26119.25
2020-12-23,-146.54999999999927,826.3299999999999,679.7800000000007,48460.09,662.7800000000016,26343.099609375
2020-12-24,264.3700000000008,1091.6800000000003,1356.050000000001,49816.14,1122.5666666666687,26386.560546875
2020-12-28,3406.9800000000014,3122.5,6529.480000000001,56345.62,2855.103333333336,26314.630859375
2020-12-29,1057.999999999999,4595.72,5653.719999999999,61999.340000000004,4513.083333333336,26568.490234375
2020-12-30,1062.6100000000006,2769.4300000000003,3832.040000000001,65831.38,5338.413333333336,27147.109375
2020-12-31,1995.4499999999998,3623.3399999999992,5618.789999999999,71450.17,5034.850000000001,27231.130859375
2021-01-04,6979.160000000002,7816.6,14795.760000000002,86245.93,8082.196666666668,27472.810546875
2021-01-05,6418.630000000001,4394.289999999999,10812.92,97058.84999999999,10409.156666666668,27649.859375
2021-01-06,5816.850000000002,6824.940000000002,12641.790000000005,109700.64,12750.15666666667,27692.30078125
2021-01-07,7181.719999999999,6095.409999999998,13277.129999999997,122977.76999999999,12243.946666666669,27548.51953125
2021-01-08,7094.969999999999,515.6600000000017,7610.630000000001,130588.4,11176.516666666668,27878.220703125
2021-01-11,10568.910000000002,7051.710000000001,17620.620000000003,148209.02,12836.126666666669,27908.220703125
2021-01-12,3704.7999999999993,3037.5999999999985,6742.399999999998,154951.41999999998,10657.883333333333,28276.75
2021-01-13,6130.039999999999,5327.219999999999,11457.259999999998,166408.68,11940.093333333332,28235.599609375
2021-01-14,9471.07,5900.75,15371.82,181780.5,11190.493333333332,28496.859375
2021-01-15,6694.790000000001,4247.489999999998,10942.279999999999,192722.78,12590.453333333333,28573.859375
2021-01-18,9452.67,10971.49,20424.16,213146.94,15579.420000000004,28862.76953125
2021-01-19,13121.369999999995,9442.5,22563.869999999995,235710.81,17976.77,29642.279296875
2021-01-20,6787.23,9638.34,16425.57,252136.38,19804.533333333336,29962.470703125
2021-01-21,7327.869999999999,10615.61,17943.48,270079.86,18977.64,29927.759765625
2021-01-22,3391.84,6090.7199999999975,9482.559999999998,279562.42,14617.203333333333,29447.849609375
2021-01-25,7332.619999999999,14782.55,22115.17,301677.58999999997,16513.736666666668,30159.009765625
2021-01-26,5764.630000000001,4162.43,9927.060000000001,311604.64999999997,13841.59666666667,29391.259765625
2021-01-27,8485.390000000001,15673.570000000002,24158.960000000003,335763.61,18733.730000000007,29297.529296875
2021-01-28,3385.09,8639.220000000001,12024.310000000001,347787.92,15370.110000000006,28550.76953125
2021-01-29,6059.120000000001,8454.85,14513.970000000001,362301.89,16899.080000000005,28283.7109375
2021-02-01,7844.690000000002,12376.170000000002,20220.860000000004,382522.75,15586.380000000005,28892.859375
2021-02-02,6408.399999999998,12273.89,18682.289999999997,401205.04,17805.70666666667,29248.69921875
2021-02-03,4771.139999999999,9812.529999999999,14583.669999999998,415788.70999999996,17828.940000000002,29307.4609375
2021-02-04,-56.470000000001164,3158.720000000001,3102.25,418890.95999999996,12122.73666666667,29113.5
2021-02-05,2881.9400000000005,6981.09,9863.03,428753.99,9182.983333333335,29288.6796875
2021-02-08,4716.99,8795.009999999998,13511.999999999998,442265.99,8825.760000000002,29319.470703125
2021-02-09,0.0,0.0,0.0,442265.99,7791.676666666669,29476.189453125
2021-02-10,0.0,0.0,0.0,442265.99,4504.000000000002,30038.720703125
2021-02-11,0.0,0.0,0.0,442265.99,2.4253192047278085e-12,30173.5703125
2021-02-16,0.0,0.0,0.0,442265.99,2.4253192047278085e-12,30746.66015625
2021-02-17,0.0,0.0,0.0,442265.99,2.4253192047278085e-12,31084.939453125
2021-02-18,2668.9399999999987,11418.93,14087.869999999999,456353.86,4695.956666666669,30595.26953125
2021-02-19,950.7600000000002,3755.999999999998,4706.759999999998,461060.62,6264.876666666668,30644.73046875
2021-02-22,309.2900000000009,2018.3899999999994,2327.6800000000003,463388.3,7040.770000000001,30319.830078125
2021-02-23,2535.959999999999,6184.77,8720.73,472109.02999999997,5251.723333333335,30632.640625
2021-02-24,-11842.809999999998,-9644.079999999998,-21486.889999999996,450622.13999999996,-3479.4933333333297,29718.240234375
2021-02-25,-604.8700000000008,2345.449999999999,1740.579999999998,452362.72,-3675.1933333333304,30074.169921875
2021-02-26,-3760.5999999999985,-2428.4300000000003,-6189.029999999999,446173.68999999994,-8645.11333333333,28980.2109375
2021-03-01,-495.9200000000001,2721.1800000000003,2225.26,448398.94999999995,-741.0633333333304,29452.5703125
2021-03-02,-881.9899999999998,-309.8899999999994,-1191.8799999999992,447207.06999999995,-1718.5499999999963,29095.859375
2021-03-03,4714.720000000001,2828.1900000000005,7542.910000000002,454749.9799999999,2858.7633333333374,29880.419921875
2021-03-04,-1457.2199999999993,-62.79999999999927,-1520.0199999999986,453229.9599999999,1610.336666666671,29236.7890625
2021-03-05,990.6900000000005,2461.09,3451.7800000000007,456681.73999999993,3158.2233333333375,29098.2890625
2021-03-08,-6406.35,-4028.5800000000017,-10434.930000000002,446246.80999999994,-2834.389999999997,28540.830078125
2021-03-09,-6789.85,-3635.4000000000015,-10425.250000000002,435821.55999999994,-5802.799999999998,28773.23046875
2021-03-10,-1885.9400000000005,-770.3099999999995,-2656.25,433165.30999999994,-7838.809999999998,28907.51953125
2021-03-11,1480.789999999999,1507.2299999999996,2988.0199999999986,436153.32999999996,-3364.4933333333315,29385.609375
2021-03-12,-229.04999999999927,1865.0100000000002,1635.960000000001,437789.29,655.9100000000029,28739.720703125
2021-03-15,-913.210000000001,385.5799999999999,-527.630000000001,437261.66,1365.4500000000025,28833.759765625
2021-03-16,2022.8600000000006,4663.0,6685.860000000001,443947.51999999996,2598.0633333333367,29027.689453125
2021-03-17,724.7000000000007,1829.0200000000004,2553.720000000001,446501.24,2903.9833333333368,29034.119140625
2021-03-18,1424.33,3594.16,5018.49,451519.73,4752.690000000003,29405.720703125
2021-03-19,-1949.6200000000008,1046.0299999999988,-903.590000000002,450616.13999999996,2222.873333333336,28990.939453125
2021-03-22,29.3100000000004,1028.6999999999998,1058.0100000000002,451674.14999999997,1724.3033333333358,28885.33984375
2021-03-23,-1476.9899999999998,220.86000000000058,-1256.1299999999992,450418.01999999996,-367.23666666666395,28497.380859375
2021-03-24,-4849.279999999999,-2425.369999999999,-7274.649999999998,443143.36999999994,-2490.923333333329,27918.140625
2021-03-25,-1475.4099999999999,-784.5100000000002,-2259.92,440883.44999999995,-3596.899999999996,27899.609375
2021-03-26,2714.870000000001,3634.9500000000007,6349.8200000000015,447233.26999999996,-1061.5833333333292,28336.4296875
2021-03-29,-892.3299999999999,-246.13999999999942,-1138.4699999999993,446094.8,983.8100000000037,28338.30078125
2021-03-30,1048.1599999999999,3121.58,4169.74,450264.54,3127.030000000004,28577.5
2021-03-31,178.57999999999993,1104.960000000001,1283.5400000000009,451548.07999999996,1438.2700000000034,28378.349609375
2021-04-01,486.8299999999999,3102.5,3589.33,455137.41,3014.2033333333366,28938.740234375
2021-04-07,-134.65999999999985,736.1399999999994,601.4799999999996,455738.88999999996,1824.7833333333365,28674.80078125
2021-04-08,2241.5699999999997,1510.0,3751.5699999999997,459490.45999999996,2647.4600000000028,29008.0703125
2021-04-09,-759.6700000000001,-25.609999999999673,-785.2799999999997,458705.17999999993,1189.2566666666696,28698.80078125
2021-04-12,-2658.9500000000007,-1230.1000000000004,-3889.050000000001,454816.12999999995,-307.58666666666403,28453.279296875
2021-04-13,-987.46,1344.0600000000004,356.60000000000036,455172.7299999999,-1439.2433333333304,28497.25
2021-04-14,-525.0100000000002,1333.3500000000004,808.3400000000001,455981.06999999995,-908.0366666666638,28900.830078125
2021-04-15,-1196.9400000000005,883.1499999999996,-313.7900000000009,455667.27999999997,283.7166666666696,28793.140625
2021-04-16,535.5500000000002,2998.5199999999995,3534.0699999999997,459201.35,1342.873333333336,28969.7109375
